Academic Year _____,Education Type ___ _______ (AR),Education Type ___ _______ (EN),Region _______ _________ (AR),Region _______ _________ (EN),Subject ______ (AR),Subject ______ (EN),Teachers Count ___ ________
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,_____ _______,Arabic Language,77
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,_____ _______ _ ________ _________,Arabic and Islamic Studies,5
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,_______ ,Hindi,6
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,_____ ____,Special Education,5
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,_____ _______,Information Technology,36
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,_______,Geography/Economics,5
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,_____,Drama,1
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,____ _______ _______,KG English,123
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,____ _______ ____,KG Arabic,48
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,___ _____/___ ________,Psychology/Sociology,4
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,____ _________,Computer Science,11
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,____ ____,General Science,51
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,__ _____,Not Applied,56
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,____1,Field 1,24
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,____2,Field 2,15
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,_____ ____,Learning Resources,1
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,______ ______,Professional Skills,1
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,____ ________,Optional Courses,27
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,NULL,NULL,176
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah, _________, malayalam,18
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,�______ ______,Personal development,1
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,�______ __________,Mathematics and Science,5
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,Extra Curricular Activity,Extra Curricular Activity,3
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,Finance and Economics,Finance and Economics,11
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,_____ _____,Business Management,13
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,_______ ____ _____,Learning Resources specialist,5
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,_______,Biology or Life Science,40
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,_________,Spanish Language,1
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,_______,History,22
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,_______,Tamil,2
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,_______ _________,Moral Education,10
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,_______ _________,Islamic Education,70
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,_______ _______ ,Physical Education and Health,54
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,_______ _________,Music,15
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,_______ ________ _________,Creative Design and Innovation,2
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,__________,Earth/Space Science/Geology,7
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,________ __________ ________ _______,National and Social Education,81
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,_________,Mathematics,132
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,______ ________,Sports Sciences,1
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,______ ______(____)/______ ______ (____),Health Science/Life Skills,3
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,________,French Language,13
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,______ _________,Creative Arts,6
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,______ _______,Visual Arts,21
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,________,Physics,34
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,________,Chemistry,39
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,_____ __________,English,386
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,_____ _______,Arabic Language,181
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,_____ _______ _ ________ _________,Arabic and Islamic Studies,9
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,_______ ,Hindi,24
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,_____ ____,Special Education,28
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,_____ _______,Information Technology,41
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,_______,Geography,1
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,_______,Geography/Economics,9
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,_____,Drama,1
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,____ _______ _______,KG English,144
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,____ _______ ____,KG Arabic,76
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,___ _____/___ ________,Psychology/Sociology,8
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,____ _________,Computer Science,23
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,____ ____,General Science,96
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,__ _____,Not Applied,138
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,____1,Field 1,38
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,____2,Field 2,83
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,_____ ____,Learning Resources,11
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,______ ______,Professional Skills,1
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,____ ________,Optional Courses,31
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,NULL,NULL,165
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN, _________, malayalam,32
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,�______ ______,Personal development,1
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,�______ __________,Mathematics and Science,61
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,Applied Engineering and Technology,Applied Engineering,1
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,Computing and Artificial Intelligence,Computing and Artificial Intelligence,5
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,Creative Media Production,Creative Media Production,2
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,Extra Curricular Activity,Extra Curricular Activity,2
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,Finance and Economics,Finance and Economics,26
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,_____ _____,Business Management,37
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,_______ ____ _____,Learning Resources specialist,2
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,_______,Biology or Life Science,57
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,_________,Spanish Language,1
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,_______,History,20
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,_______,Tamil,9
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,_______ _________,Moral Education,28
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,_______ _________,Islamic Education,175
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,_______ _______ ,Physical Education and Health,131
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,_______ _________,Music,29
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,_______ ________ _________,Creative Design and Innovation,3
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,__________,Earth/Space Science/Geology,3
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,_______ ________ ________ _________,CCDI,8
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,________ __________ ________ _______,National and Social Education,211
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,_________,Mathematics,333
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,_______,Chinese Language,3
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,______ ________,Sports Sciences,3
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,______ ________,Agricultural Sciences,5
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,______ ______,Health Sciences,3
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,______ ______(____)/______ ______ (____),Health Science/Life Skills,5
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,________,French Language,54
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,______ _________,Creative Arts,28
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,______ _______,Visual Arts,38
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,________,Physics,58
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,________,Chemistry,47
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,_____ __________,English,607
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,_____ _______,Arabic Language,355
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,_____ _______ _ ________ _________,Arabic and Islamic Studies,21
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,________ ________ - ______ ________,Food Science Specialized Skills,1
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,_______ ,Hindi,47
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,_____ ____,Special Education,20
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,_____ _______,Information Technology,80
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,_______,Geography,2
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,_______,Geography/Economics,19
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,_____,Drama,6
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,____ _______ _______,KG English,560
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,____ _______ ____,KG Arabic,170
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,___ _____/___ ________,Psychology/Sociology,7
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,____ _________,Computer Science,88
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,____ ____,General Science,279
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,__ _____,Not Applied,236
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,____1,Field 1,124
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,____2,Field 2,31
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,_____ ____,Learning Resources,7
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,____ ________,Optional Courses,161
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,NULL,NULL,22
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,Applied Engineering and Technology,Applied Engineering,186
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,Applied Engineering Electrical,Applied Engineering Electrical,35
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,Applied Engineering Mechanical,Applied Engineering Mechanical,35
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,Aviation,Aviation,20
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,Computing and Artificial Intelligence,Computing and Artificial Intelligence,95
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,Creative Media Production,Creative Media Production,18
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,Engineering Maintenance Electrical,Engineering Maintenance Electrical,24
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,Engineering Maintenance Mechanical,Engineering Maintenance Mechanical,31
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,Extra Curricular Activity,Extra Curricular Activity,1
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,Finance and Economics,Finance and Economics,1
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,Health Science Technology,Health Science Technology,17
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,HECMA,HECMA,16
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,Senior Graduation Project,Senior Graduation Project,155
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,Student Academic Mentoring,Student Academic Mentoring,39
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,_____ _____,Business Management,46
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,_______,Biology or Life Science,69
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,_______,History,3
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,_______ _________,Moral Education,4
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,_______ _________,Islamic Education,138
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,_______ _______ ,Physical Education and Health,41
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,_______ ________ _________,Creative Design and Innovation,91
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,__________,Earth/Space Science/Geology,2
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,________ __________ ________ _______,National and Social Education,125
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,_________,Mathematics,148
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,_______,Chinese Language,3
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,______ ______,Health Sciences,94
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,______ ______(____)/______ ______ (____),Health Science/Life Skills,43
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,______ _______,Visual Arts,1
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,________,Physics,89
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,________,Chemistry,69
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,_____ __________,English,103
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,_____ _______,Arabic Language,207
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,_____ _______ _ ________ _________,Arabic and Islamic Studies,127
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,________ ________,Specialized Skills,1
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,_______,Engineering,54
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,_____ ____,Special Education,1
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,_____ _______,Information Technology,3
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,_______,Geography,3
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,___ _____/___ ________,Psychology/Sociology,12
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,____ _________,Computer Science,88
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,____ ____,General Science,123
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,____2,Field 2,1
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,______ ______,Professional Skills,2
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,NULL,NULL,9
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,Applied Engineering and Technology,Applied Engineering,22
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,Applied Engineering Electrical,Applied Engineering Electrical,8
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,Applied Engineering Mechanical,Applied Engineering Mechanical,7
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,Computing and Artificial Intelligence,Computing and Artificial Intelligence,9
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,Creative Media Production,Creative Media Production,2
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,Engineering Maintenance Electrical,Engineering Maintenance Electrical,4
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,Engineering Maintenance Mechanical,Engineering Maintenance Mechanical,6
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,Health Science Technology,Health Science Technology,3
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,HECMA,HECMA,2
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,Senior Graduation Project,Senior Graduation Project,19
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,Student Academic Mentoring,Student Academic Mentoring,1
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,_____ _____,Business Management,8
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,_______,Biology or Life Science,10
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,_______ _________,Moral Education,1
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,_______ _________,Islamic Education,13
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,_______ _______ ,Physical Education and Health,4
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,_______ ________ _________,Creative Design and Innovation,10
